CÓDIGO;NOME DA UNIDADE;HELIDECK;;SITUAÇÃO;PORTARIA;Última atualização 13/01/2021
;;Resistência do piso (kg);Comprimento máximo do maior helicóptero a operar (m);;;VALIDADE
9PPF;PETROBRAS 35;12.800;20,88;PORTARIA VÁLIDA;3325/SIA, de 17/11/2020;12/11/2023
9PAW;PETROBRAS-15;5.300;19,60;PORTARIA VÁLIDA;3320/SIA, de 17/11/2020;24/11/2023
9PUV;UMS VENUS;12.800;20,88;PORTARIA VÁLIDA;3296/SIA, de 17/11/2020;25/11/2023
9PIZ;TOP CORAL DO ATLANTICO;12.800;22,20;PORTARIA VÁLIDA;3541/SIA, de 01/12/2020;04/12/2023
9PMM;MANATI 1 (PMNT-1);5.100;17,46;PORTARIA VÁLIDA;3532/SIA, de 01/12/2020;06/12/2023
9PSO;PETROBRAS 12;10.400;17,00;PORTARIA VÁLIDA;3525/SIA, 01/12/2020;19/12/2023
9PCC;FSO CIDADE DE MACAÉ MV-15;9.300;20,88;PORTARIA VÁLIDA;3633/SIA, 08/12/2020;20/12/2023
9PSD;PETROBRAS 65 (P-65);9.000;18,70;PORTARIA VÁLIDA;3695/SIA, de 14/12/2020;05/01/2024
9PUB;PLATAFORMA DE UBARANA-02 - PUB-02;3.000;13,00;PORTARIA VÁLIDA;3693/SIA, de 14/12/2020;05/01/2024
9PCM;PLATAFORMA DE CAMORIM 9 - PCM-9;6.000;16,00;PORTARIA VÁLIDA;3534/SIA, de 01/12/2020;05/01/2024
9PPD;PETROBRAS 43 (P-43);12.800;22,20;PORTARIA VÁLIDA;3523/SIA, de 01/12/2020;09/01/2024
