Última atualização: 18/01/2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação;Designação;Comprimento;Largura;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link Portaria
SWPH;MT0379;Fazenda Paulo Abreu;BARRA DO GARÇAS;Mato Grosso;"052°07'48""O";"15°13'34,0""S";302;VFR Diurna;11/29;900;18;5000Kg / ,5 MPa;Terra;16/06/2024;PA2014-1394;https://pergamum.anac.gov.br/arquivos/PA2014-1394
SSTY;RJ0027;Fazenda Tosana;CABO FRIO;Rio de Janeiro;"042°01'30""O";"22°35'49,0""S";3;VFR Diurna;8/26;640;30;2500Kg / ,5 MPa;Grama;10/10/2023;PA2013-2636;https://pergamum.anac.gov.br/arquivos/PA2013-2636
SSOC;PR0087;Ivaí Aeroagrícola;ENGENHEIRO BELTRÃO;Paraná;"052°10'10,0""O";"23°42'43,0""S";296;VFR Diurna;7/25;850;22;5700Kg / ,5 MPa;Grama;09/11/2022;PA2012-2370;https://pergamum.anac.gov.br/arquivos/PA2012-2370
SJSJ;BA0122;Fazenda São Jorge;EUNÁPOLIS;Bahia;"039°41'12,0""O";"16°20'40,0""S";221;VFR Diurna;10/28;685;18;5700Kg / ,5 MPa;Terra;09/03/2025;PA2015-0582;https://pergamum.anac.gov.br/arquivos/PA2015-0582
SDFF;AM0027;Fazenda Fusão;LÁBREA;Amazonas;"067°18'23,0""O";"09°34'12,0""S";197;VFR Diurna;4/22;600;18;5700Kg / ,5 MPa;Grama;27/03/2025;PA2015-0735;https://pergamum.anac.gov.br/arquivos/PA2015-0735
SNIJ;SP0229;Joca Viol;BIRIGUI;São Paulo;"050°24'41,8""O";"21°16'59,2""S";447;VFR Diurna;15/33;500;18;5600Kg / ,5 MPa;Terra;27/08/2025;PA2015-2262;https://pergamum.anac.gov.br/arquivos/PA2015-2262
SJRV;MT0216;PCH Garganta da Jararaca;NOVA MARINGÁ;Mato Grosso;"057°37'03,0""O";"13°23'16,0""S";424;VFR Noturna;17/35;1600;23;20/F/B/W/T;Asfalto;04/10/2022;PA2015-1160;https://pergamum.anac.gov.br/arquivos/PA2015-1160
SSVS;MS0343;Fazenda Sucuri;RIO BRILHANTE;Mato Grosso do Sul;"054°46'07,0""O";"21°41'44,0""S";800;VFR Diurna;3/21;800;18;5000Kg / ,5 MPa;Terra;17/02/2026;PA2016-0300;https://pergamum.anac.gov.br/arquivos/PA2016-0300
SWUV;PI0046;Fazenda Progresso;SEBASTIÃO LEAL;Piauí;"044°12'12,0""O";"07°30'09,0""S";450;VFR Noturna;11/29;1420;20;8/F/B/X/T;Asfalto;;;
SSEX;MS0264;Estância Caiman;MIRANDA;Mato Grosso do Sul;"056°18'42,0""O";"19°58'08,0""S";130;VFR Diurna;4/22;950;26;5600Kg / ,5 MPa;Cascalho;;;
SITX;MS0132;Fazenda Estrela do Sul;RIO BRILHANTE;Mato Grosso do Sul;"054°05'02,0""O";"21°47'25,0""S";302;VFR Diurna;3/21;800;18;5000Kg / ,5 MPa;Grama;21/10/2025;PA2015-2809;https://pergamum.anac.gov.br/arquivos/PA2015-2809
SDRC;SP0138;Fazenda Santana;RANCHARIA;São Paulo;"050°51'57,0""O";"22°10'55,0""S";490;VFR Diurna;4/22;900;18;5700Kg / ,5 MPa;Asfalto;28/02/2022;PA2012-0376;https://pergamum.anac.gov.br/arquivos/PA2012-0376
SDSQ;SP0143;Usina Santa Rita;SANTA RITA DO PASSA QUATRO;São Paulo;"047°39'26,0""O";"21°43'28,0""S";630;VFR Diurna;3/21;800;30;5000Kg / ,5 MPa;Terra;14/05/2022;PA2014-0053;https://pergamum.anac.gov.br/arquivos/PA2014-0053
SSYY;MS0355;Fazenda Fundãozinho;COSTA RICA;Mato Grosso do Sul;"053°09'17,0""O";"18°57'09,0""S";586;VFR Diurna;10/28;1000;20;5000Kg / ,5 MPa;Terra;09/11/2022;PA2018-0104;https://pergamum.anac.gov.br/arquivos/PA2018-0104
SIZP;MT0158;Gaúcha do Norte;GAÚCHA DO NORTE;Mato Grosso;"053°15'01,0""O";"13°09'22,0""S";370;VFR Diurna;2/20;950;18;5700Kg / ,5 MPa;Cascalho;22/08/2023;PA2013-2129;https://pergamum.anac.gov.br/arquivos/PA2013-2129
SDYN;SP0166;Fazenda Esmeralda;TACIBA;São Paulo;"051°17'56,0""O";"22°35'20,0""S";416;VFR Diurna;9/27;800;20;4000Kg / ,5 MPa;Grama;26/09/2023;PA2013-2507;https://pergamum.anac.gov.br/arquivos/PA2013-2507
SSGM;MS0275;Fazenda Seriema;BELA VISTA;Mato Grosso do Sul;"056°33'45""O";"21°41'36,0""S";321;VFR Diurna;9/27;800;18;5000Kg / ,5 MPa;Terra;08/02/2022;PA2012-0260;https://pergamum.anac.gov.br/arquivos/PA2012-0260
SJUJ;MT0226;Fazenda Juruna;PEIXOTO DE AZEVEDO;Mato Grosso;"053°30'51,0""O";"10°24'28,0""S";359;VFR Diurna;16/34;1000;20;5700Kg / ,5 MPa;Cascalho;26/01/2025;PA2015-0162;https://pergamum.anac.gov.br/arquivos/PA2015-0162
SIUC;MG0111;Fazenda Campo Grande;JANUÁRIA;Minas Gerais;"045°13'30""O";"15°10'46,0""S";793;VFR Diurna;9/27;1600;23;4000Kg / ,5 MPa;Terra;02/10/2025;PA2015-2805;https://pergamum.anac.gov.br/arquivos/PA2015-2805
SSFO;MS0270;Fazenda Novo Horizonte;MIRANDA;Mato Grosso do Sul;"056°19'13,0""O";"20°02'23,0""S";108;VFR Diurna;3/21;800;23;5000Kg / ,5 MPa;Grama;13/10/2021;PA2011-1963;https://pergamum.anac.gov.br/arquivos/PA2011-1963
SNPS;MS0409;Fazenda Seriema;NOVA ANDRADINA;Mato Grosso do Sul;"053°20'21,0""O";"22°03'13,0""S";439;IFR Noturna;9/27;800;18;5700Kg / ,5 MPa;Grama;;;
SWKF;MT0359;Fazenda Furnas do Sararé;PONTES E LACERDA;Mato Grosso;"059°25'18,0""O";"15°02'41,0""S";270;VFR Diurna;17/35;900;18;5700Kg / ,5 MPa;Terra;11/02/2026;PA2016-0246;https://pergamum.anac.gov.br/arquivos/PA2016-0246
SJNG;RR0087;Xidea;ALTO ALEGRE;Roraima;"063°52'10,0""O";"02°36'25,0""N";606;VFR Diurna;1/19;800;30;5600Kg / ,5 MPa;Grama;28/12/2022;PA2012-2885;https://pergamum.anac.gov.br/arquivos/PA2012-2885
SJQD;BA0120;Grupo Shimohira;FORMOSA DO RIO PRETO;Bahia;"046°28'21""O";"11°26'58,0""S";883;VFR Diurna;6/24;1100;20;5600Kg / ,5 MPa;Cascalho;13/05/2025;PA2015-1108;https://pergamum.anac.gov.br/arquivos/PA2015-1108
SDZZ;SP0169;Sítio São José;NOVA EUROPA;São Paulo;"048°32'38,0""O";"21°47'52,0""S";545;VFR Diurna;1/19;700;32;4500Kg / ,5 MPa;Grama;12/04/2022;PA2012-0662;https://pergamum.anac.gov.br/arquivos/PA2012-0662
SINA;DF0004;Asas do Ar;BRASÍLIA;Distrito Federal;"047°34'25,9""O";"15°36'36,6""S";1159;VFR Diurna;15/33;507,42;18;5000Kg / ,5 MPa;Asfalto;23/12/2025;PA2015-3388;https://pergamum.anac.gov.br/arquivos/PA2015-3388
SNXH;MA0042;Itapicuru;CODÓ;Maranhão;"044°01'12""O";"04°30'47,0""S";56;VFR Noturna;9/27;1475;29;6/F/A/X/T;Asfalto;;;
SIWC;MG0114;Asas do Cerrado;UBERLÂNDIA;Minas Gerais;"048°18'25,0""O";"19°01'59,0""S";873;VFR Diurna;4/22;750;20;5600Kg / ,5 MPa;Grama;13/09/2022;PA2012-1822;https://pergamum.anac.gov.br/arquivos/PA2012-1822
SNYP;PA0116;Chácara Paraíso;BENEVIDES;Pará;"048°17'56,0""O";"01°19'04,1""S";21;VFR Diurna;12/30;960;18;5000Kg / ,5 MPa;Terra;13/09/2022;PA2012-1811;https://pergamum.anac.gov.br/arquivos/PA2012-1811
SWZP;MT0449;Fazenda Vale Rico;SÃO JOSÉ DO POVO;Mato Grosso;"054°12'15,0""O";"16°23'08,0""S";375;VFR Diurna;12/30;800;30;4000Kg / ,5 MPa;Cascalho;21/09/2022;PA2013-2391;https://pergamum.anac.gov.br/arquivos/PA2013-2391
SWNW;RS0128;Roso;ACEGUÁ;Rio Grande do Sul;"054°05'20,0""O";"31°44'03,0""S";165;IFR Noturna;7/25;800;18;5700Kg / ,5 MPa;Asfalto;29/07/2030;PA2020-1770;https://pergamum.anac.gov.br/arquivos/PA2020-1770
SNJI;MG0152;Fazenda Fortaleza de Santa Teresinha;JEQUITAÍ;Minas Gerais;"044°38'57,6""O";"17°11'11,8""S";500;VFR Diurna;2/20;1080;18;5500Kg / ,5 MPa;Asfalto;11/03/2024;PA2019-2797;https://pergamum.anac.gov.br/arquivos/PA2019-2797
SWKA;MG0199;Fazenda Cachoeira 2;BURITIZEIRO;Minas Gerais;"045°05'38,0""O";"17°23'23,0""S";699;VFR Diurna;10/28;1100;30;4000Kg / ,5 MPa;Terra;06/03/2023;PA2013-0562;https://pergamum.anac.gov.br/arquivos/PA2013-0562
SNWX;MS0238;Fazenda Vista Alegre;CAMPO GRANDE;Mato Grosso do Sul;"054°05'36,0""O";"20°50'53,0""S";458;VFR Diurna;2/20;600;18;4000Kg / ,5 MPa;Grama;;;
SIGE;TO0018;Alberi Juliani;LAGOA DA CONFUSÃO;Tocantins;"049°35'09,0""O";"10°47'04,0""S";202;VFR Diurna;17/35;1000;30;5600Kg / ,5 MPa;Cascalho;02/10/2025;PA2015-2610;https://pergamum.anac.gov.br/arquivos/PA2015-2610
SNOV;AL0010;Povoado de Camaçari;CORURIPE;Alagoas;"036°17'30,0""O";"10°07'20,0""S";85;VFR Diurna;13/31;600;18;3000Kg / ,5 MPa;Piçarra;21/12/2021;PA2017-3240;https://pergamum.anac.gov.br/arquivos/PA2017-3240
SDAJ;MS0022;Fazenda Recanto;JATEÍ;Mato Grosso do Sul;"054°05'41,0""O";"22°35'44,0""S";382;VFR Diurna;17/35;1100;50;5700Kg / ,5 MPa;Grama;14/05/2022;PA2017-0559;https://pergamum.anac.gov.br/arquivos/PA2017-0559
SIIT;MS0088;Fazenda Cachoeira;ANASTÁCIO;Mato Grosso do Sul;"055°34'19,0""O";"20°45'35,0""S";362;VFR Diurna;5/23;1000;18;8/F/B/X/T;Asfalto;16/05/2023;PA2013-1226;https://pergamum.anac.gov.br/arquivos/PA2013-1226
SIBV;MS0067;Fazenda Bela Vista;NOVA ALVORADA DO SUL;Mato Grosso do Sul;"054°29'19,0""O";"21°26'55,0""S";330;VFR Diurna;17/35;800;30;5700Kg / ,5 MPa;Terra;20/09/2021;PA2011-1797;https://pergamum.anac.gov.br/arquivos/PA2011-1797
SSZN;MT0323;Fazenda Carandazal;CÁCERES;Mato Grosso;"058°06'34,0""O";"16°42'22,0""S";107;VFR Diurna;7/25;800;20;5000Kg / ,45 MPa;Asfalto;06/06/2022;PA2012-1113;https://pergamum.anac.gov.br/arquivos/PA2012-1113
SWES;PR0095;Clube de Aviação Experimental do Paraná;IBIPORÃ;Paraná;"051°05'26,0""O";"23°17'14,0""S";493;VFR Diurna;8/26;550;18;5670Kg / ,5 MPa;Asfalto;26/03/2022;PA2013-1503;https://pergamum.anac.gov.br/arquivos/PA2013-1503
SDLD;MT0039;Fazenda Barra Grande;CONFRESA;Mato Grosso;"051°59'39,0""O";"10°08'18,0""S";288;VFR Diurna;9/27;1000;19;5650Kg / ,55 MPa;Terra;20/07/2022;PA2012-1453;https://pergamum.anac.gov.br/arquivos/PA2012-1453
SIZU;MT0160;Agrochapada;PARANATINGA;Mato Grosso;"054°16'36,0""O";"13°26'08,9""S";435;VFR Diurna;4/22;1300;30;5700Kg / ,5 MPa;Cascalho;06/12/2021;PA2011-2382;https://pergamum.anac.gov.br/arquivos/PA2011-2382
SWUK;AM0055;Uapui-Cachoeira;SÃO GABRIEL DA CACHOEIRA;Amazonas;"069°12'02,0""O";"01°12'59,0""N";76;VFR Diurna;18/36;900;30;2500Kg / ,5 MPa;Piçarra;12/06/2025;PA2015-1415;https://pergamum.anac.gov.br/arquivos/PA2015-1415
SNAN;RS0081;Empresa Agrícola Chiapeta;CHIAPETTA;Rio Grande do Sul;"053°52'40,0""O";"28°04'01,2""S";479;VFR Diurna;4/22;900;25;3000Kg / ,5 MPa;Grama;08/07/2021;PA2011-1324;https://pergamum.anac.gov.br/arquivos/PA2011-1324
SJXM;MG0138;Carolina de Assis Repetto;LIMA DUARTE;Minas Gerais;"043°53'32,0""O";"21°43'49,0""S";1088;VFR Diurna;7/25;760;20;3000Kg / ,5 MPa;Saibro;03/05/2022;PA2016-0982;https://pergamum.anac.gov.br/arquivos/PA2016-0982
SSTU;MS0334;Fazenda Tujuri;ELDORADO;Mato Grosso do Sul;"054°22'43,0""O";"23°41'34,0""S";376;VFR Diurna;9/27;1000;18;5000Kg / ,5 MPa;Terra;26/12/2027;PA2017-4078;https://pergamum.anac.gov.br/arquivos/PA2017-4078
SIKX;MT0103;Fazenda Água Boa ;JUARA;Mato Grosso;"057°40'08,0""O";"11°10'34,0""S";249;VFR Diurna;4/22;1250;20;5700Kg / ,5 MPa;Cascalho;19/07/2027;PA2017-2164;https://pergamum.anac.gov.br/arquivos/PA2017-2164
SSKO;MT0492;Fazenda Matrinchã;BRASNORTE;Mato Grosso;"057°20'25,0""O";"12°55'49,0""S";346;VFR Diurna;5/23;1000;18;5700Kg / ,5 MPa;Cascalho;23/04/2029;PA2019-1220;https://pergamum.anac.gov.br/arquivos/PA2019-1220
SDQN;BA0077;FAZENDA PALMARES 2;BARREIRAS;Bahia;"046°03'08,7""O";"11°39'22,9""S";823;VFR Diurna;14/32;1450;20;5700Kg / ,5 MPa;Cascalho;18/09/2028;PA2018-2815;https://pergamum.anac.gov.br/arquivos/PA2018-2815
SJPL;PA0074;Pista do Limão;ITAITUBA;Pará;"056°23'19,0""O";"05°44'43,0""S";169;VFR Diurna;3/21;600;18;4000Kg / ,5 MPa;Terra;11/12/2027;PA2017-3921;https://pergamum.anac.gov.br/arquivos/PA2017-3921
SDSB;SP0140;Fazenda São Sebastião;RIFAINA;São Paulo;"047°31'26,0""O";"19°59'45,0""S";520;VFR Diurna;12/30;1150;40;4500Kg / ,5 MPa;Grama;26/07/2022;PA2012-1498;https://pergamum.anac.gov.br/arquivos/PA2012-1498
SSTQ;AP0011;Silvestre;PEDRA BRANCA DO AMAPARI;Amapá;"051°54'26,3""O";"00°50'59,3""N";116;VFR Diurna;5/23;1020;20;5700Kg / ,5 MPa;Terra;07/11/2024;PA2014-2626;https://pergamum.anac.gov.br/arquivos/PA2014-2626
SWXP;MS0402;Fazenda Palmeiras;CORUMBÁ;Mato Grosso do Sul;"057°01'09,0""O";"17°58'16,0""S";104;VFR Diurna;9/27;800;18;5000Kg / ,5 MPa;Grama;20/01/2027;PA2017-0104;https://pergamum.anac.gov.br/arquivos/PA2017-0104
SJCF;TO0060;SÍTIO FLYER;PALMAS;Tocantins;"048°19'35,0""O";"10°06'29,0""S";260;VFR Diurna;13/31;600;18;3000Kg / ,5 MPa;Terra;;;
SDNC;MT0045;Fazenda Barra do Cupim;DOM AQUINO;Mato Grosso;"054°44'07,0""O";"15°25'44,0""S";658;VFR Diurna;8/26;800;18;5600Kg / ,5 MPa;Cascalho;;;
SJND;CE0020;Darinha;CASCAVEL;Ceará;"038°14'33,5""O";"04°06'35,1""S";19;VFR Diurna;11/29;600;20;5700Kg / ,5 MPa;Asfalto;01/11/2026;PA2016-2800;https://pergamum.anac.gov.br/arquivos/PA2016-2800
SSOQ;MS0317;Fazenda Barranco Alto;AQUIDAUANA;Mato Grosso do Sul;"056°09'07,9""O";"19°34'40,0""S";153;VFR Diurna;9/27;960;60;5000Kg / ,5 MPa;Grama;16/01/2023;PA2013-0094;https://pergamum.anac.gov.br/arquivos/PA2013-0094
SDXA;RR0024;SAWI;NORMANDIA;Roraima;"060°00'16,0""O";"04°12'43,0""N";110;VFR Diurna;5/23;527;13;4000Kg / ,5 MPa;Terra;;;
SITM;SP1268;Fazenda Bela Vista;PANORAMA;São Paulo;"051°53'40,0""O";"21°25'03,0""S";273;VFR Diurna;13/31;970;18;5600Kg / ,5 MPa;Grama;24/10/2029;PA2019-3167;https://pergamum.anac.gov.br/arquivos/PA2019-3167
SDMW;GO0041;Fazenda Karajá;NOVA CRIXÁS;Goiás;"050°40'56,0""O";"14°06'44,0""S";254;VFR Diurna;12/30;600;20;5600Kg / ,5 MPa;Terra;06/11/2024;PA2016-2095;https://pergamum.anac.gov.br/arquivos/PA2016-2095
SJBR;TO0054;Fazenda Santa Rita;FIGUEIRÓPOLIS;Tocantins;"048°58'12""O";"12°14'39,0""S";284;VFR Diurna;17/35;900;20;13/F/B/Y/T;Asfalto;03/07/2029;PA2019-1913;https://pergamum.anac.gov.br/arquivos/PA2019-1913
SJQS;MT0453;Fazenda Santa Tereza;UNIÃO DO SUL;Mato Grosso;"054°03'04,0""O";"11°27'49,0""S";363;VFR Diurna;6/24;1199;20;5700Kg / ,5 MPa;Terra;30/11/2028;PA2018-3509;https://pergamum.anac.gov.br/arquivos/PA2018-3509
SNNK;MS0481;Fazenda Santa Bernadette da Volta Grande;CAMPO GRANDE;Mato Grosso do Sul;"053°53'01,0""O";"21°17'18,0""S";403;VFR Diurna;16/34;1180;20;5700Kg / ,5 MPa;Terra;24/10/2029;PA2019-3168;https://pergamum.anac.gov.br/arquivos/PA2019-3168
SWXD;MT0505;Joatão do Colorado;SÃO FÉLIX DO ARAGUAIA;Mato Grosso;"052°37'07,0""O";"11°29'37,0""S";315;VFR Diurna;10/28;1099;15;5700Kg / ,5 MPa;Asfalto;29/05/2029;PA2019-1489;https://pergamum.anac.gov.br/arquivos/PA2019-1489
SNTX;MA0081;Fazenda Santo Antônio;BURITICUPU;Maranhão;"046°16'02,0""O";"04°30'28,0""S";326;VFR Diurna;7/25;1199;20;5700Kg / ,5 MPa;Terra;26/07/2029;PA2019-2118;https://pergamum.anac.gov.br/arquivos/PA2019-2118
SDIE;MG0444;Fazenda Lagoa;LAGOA GRANDE;Minas Gerais;"046°32'49,0""O";"17°45'52,0""S";563;VFR Diurna;11/29;1100;20;5700Kg / ,5 MPa;Terra;12/02/2030;PA2019-130;https://pergamum.anac.gov.br/arquivos/PA2019-130
SIIN;RO0050;Fazenda Marrecão;SÃO MIGUEL DO GUAPORÉ;Rondônia;"063°02'32,0""O";"12°02'24,0""S";161;VFR Diurna;5/23;800;18;5700Kg / ,5 MPa;Cascalho;14/02/2029;PA2019-0334;https://pergamum.anac.gov.br/arquivos/PA2019-0334
SWLM;RO0031;Fazenda Mustang II;CANDEIAS DO JAMARI;Rondônia;"063°33'24,0""O";"09°14'43,0""S";96;VFR Diurna;10/28;900;20;5700Kg / ,5 MPa;Cascalho;26/09/2028;PA2018-2854;https://pergamum.anac.gov.br/arquivos/PA2018-2854
SJRP;MT0481;Grupo Pronorte;MARCELÂNDIA;Mato Grosso;"054°31'55,0""O";"11°05'21,0""S";311;VFR Diurna;6/24;1000;18;5700Kg / ,5 MPa;Cascalho;19/12/2028;PA2018-3788;https://pergamum.anac.gov.br/arquivos/PA2018-3788
SWJZ;PA0166;Sítio Primavera;ITAITUBA;Pará;"055°26'48,0""O";"06°25'21,0""S";221;VFR Diurna;11/29;1200;18;5700Kg / ,5 MPa;Cascalho;14/12/2028;PA2018-3854;https://pergamum.anac.gov.br/arquivos/PA2018-3854
SNJH;BA0259;JH Sementes;CORRENTINA;Bahia;"046°08'50,0""O";"13°46'06,0""S";966;VFR Diurna;12/30;1411;20;5700Kg / ,5 MPa;Cascalho;22/08/2029;PA2019-2486;https://pergamum.anac.gov.br/arquivos/PA2019-2486
SSYL;MA0076;Fazenda Patrol;PARNARAMA;Maranhão;"043°31'13,0""O";"05°32'49,4""S";198;VFR Diurna;14/32;1200;30;5700Kg / ,5 MPa;Cascalho;30/11/2028;PA2018-3574;https://pergamum.anac.gov.br/arquivos/PA2018-3574
SSFS;MT0576;Fazenda Sapezal;SAPEZAL;Mato Grosso;"058°46'56,0""O";"13°19'57,0""S";542;VFR Diurna;1/19;1200;20;5700Kg / ,5 MPa;Terra;12/02/2030;PA2019-52;https://pergamum.anac.gov.br/arquivos/PA2019-52
SIBK;RS0058;Aeroclube de Bagé;BAGÉ;Rio Grande do Sul;"054°08'09,0""O";"31°19'40,0""S";222;VFR Diurna;11/29;570;30;4000Kg / ,5 MPa;Grama;24/10/2027;PA2017-3349;https://pergamum.anac.gov.br/arquivos/PA2017-3349
SNTC;MG0449;Fazenda Campo Alto;PRATA;Minas Gerais;"048°41'19,0""O";"19°21'26,0""S";687;VFR Diurna;1/19;900;23;4/F/B/Y/T;Asfalto;23/09/2029;PA2019-2902;https://pergamum.anac.gov.br/arquivos/PA2019-2902
SJRJ;MS0181;Fazenda Jacaré;CAMPO GRANDE;Mato Grosso do Sul;"053°58'05,0""O";"21°30'07,0""S";355;VFR Diurna;17/35;700;18;5600Kg / ,5 MPa;Terra;24/10/2026;PA2016-2852;https://pergamum.anac.gov.br/arquivos/PA2016-2852
SINS;MT0111;Fazenda Grupo Nissey;CÁCERES;Mato Grosso;"058°33'25,0""O";"16°10'12,0""S";177;VFR Diurna;5/23;850;18;5700Kg / ,5 MPa;Cascalho;07/12/2027;PA2017-3835;https://pergamum.anac.gov.br/arquivos/PA2017-3835
SDLW;GO0040;Fazenda Colorado;ARUANÃ;Goiás;"050°50'58,0""O";"14°58'55,0""S";283;VFR Diurna;1/19;1100;18;13/F/B/Y/T;Asfalto;15/10/2028;PA2018-3111;https://pergamum.anac.gov.br/arquivos/PA2018-3111
SSVV;MS0421;Fazenda Garimpinho;FIGUEIRÃO;Mato Grosso do Sul;"054°18'03,0""O";"18°43'09,0""S";306;VFR Diurna;16/34;700;18;5700Kg / ,5 MPa;Cascalho;23/04/2029;PA2019-1203;https://pergamum.anac.gov.br/arquivos/PA2019-1203
SWIS;TO0046;Caiapó;CASEARA;Tocantins;"049°46'34,0""O";"09°11'11,0""S";197;VFR Diurna;14/32;1400;25;8/F/A/W/T;Asfalto;24/01/2023;PA2013-0184;https://pergamum.anac.gov.br/arquivos/PA2013-0184
SNWJ;MT0274;Fazenda Rancho Grande;INDIAVAÍ;Mato Grosso;"058°37'29,0""O";"15°12'29,0""S";410;VFR Diurna;17/35;900;40;5000Kg / ,5 MPa;Grama;09/09/2023;PA2013-2310;https://pergamum.anac.gov.br/arquivos/PA2013-2310
SWLA;MT0362;Fazenda Amália;JUÍNA;Mato Grosso;"058°38'02,0""O";"11°52'56,0""S";367;VFR Diurna;7/25;1000;23;4200Kg / ,5 MPa;Cascalho;30/12/2021;PA2011-2619;https://pergamum.anac.gov.br/arquivos/PA2011-2619
SIDS;MS0071;Romaer Aviação Agrícola;ARAL MOREIRA;Mato Grosso do Sul;"055°35'19,0""O";"22°55'53,0""S";578;VFR Diurna;8/26;800;18;5700Kg / ,5 MPa;Cascalho;10/04/2025;PA2019-1557;https://pergamum.anac.gov.br/arquivos/PA2019-1557
SNFT;MT0252;Fazenda Toca da Onça;UNIÃO DO SUL;Mato Grosso;"054°34'27,0""O";"11°19'25,0""S";351;VFR Diurna;14/32;550;18;5600Kg / ,5 MPa;Terra;02/08/2026;PA2016-1947;https://pergamum.anac.gov.br/arquivos/PA2016-1947
SSNI;MS0308;Fazenda Novo Rumo;NAVIRAÍ;Mato Grosso do Sul;"053°52'40,0""O";"22°59'12,0""S";356;VFR Diurna;3/21;1000;30;5700Kg / ,5 MPa;Grama;29/05/2023;PA2013-1382;https://pergamum.anac.gov.br/arquivos/PA2013-1382
SWSC;MS0426;Fazenda São Carlos;PARAÍSO DAS ÁGUAS;Mato Grosso do Sul;"053°06'10,0""O";"19°10'39,0""S";690;IFR Noturna;7/25;700;18;5600Kg / ,5 MPa;Terra;;;
SSZA;RR0105;Fazenda Angra dos Reis;BOA VISTA;Roraima;"060°41'47,0""O";"02°59'37,0""N";84;VFR Diurna;3/21;1000;20;5700Kg / ,05 MPa;Terra;17/05/2026;PA2016-1197;https://pergamum.anac.gov.br/arquivos/PA2016-1197
SJJB;MS0171;Fazenda Barra Mansa;BRASILÂNDIA;Mato Grosso do Sul;"052°46'42,6""O";"20°46'07,0""S";433;VFR Diurna;15/33;973;30;5200Kg / ,5 MPa;Terra;;;
SSCO;RS0092;Cmt. Marilda Zaiden de Mesquita;CAPÃO DO LEÃO;Rio Grande do Sul;"052°27'05,0""O";"31°46'27,0""S";10;VFR Diurna;3/21;800;18;4000Kg / ,5 MPa;Grama;09/02/2025;PA2015-0312;https://pergamum.anac.gov.br/arquivos/PA2015-0312
SSPC;MT0305;Fazenda Santa Júlia;COCALINHO;Mato Grosso;"051°20'24""O";"13°43'54,0""S";264;VFR Diurna;8/26;1400;30;5700Kg / ,5 MPa;Cascalho;27/11/2024;PA2014-2815;https://pergamum.anac.gov.br/arquivos/PA2014-2815
SIFS;MS0083;Fazenda dos Sonhos;ANASTÁCIO;Mato Grosso do Sul;"056°01'57""O";"20°45'32,0""S";168;VFR Diurna;18/36;850;25;3000Kg / ,5 MPa;Grama;05/06/2024;PA2014-1283;https://pergamum.anac.gov.br/arquivos/PA2014-1283
SILN;SC0028;Aeroclube de Rio Negrinho;RIO NEGRINHO;Santa Catarina;"049°31'16,7""O";"26°19'16,6""S";939;VFR Diurna;11/29;1198;22;5600Kg / ,5 MPa;Asfalto;15/10/2028;PA2018-3105;https://pergamum.anac.gov.br/arquivos/PA2018-3105
SWRB;RS0130;Fazenda Santa Rita;CAMPINAS DO SUL;Rio Grande do Sul;"052°43'26,0""O";"27°42'23,0""S";621;IFR Noturna;17/35;800;18;5700Kg / ,5 MPa;Grama;;;
SNGJ;PA0172;Fazenda Padre Cícero;MARABÁ;Pará;"049°28'30""O";"05°36'20,0""S";149;VFR Diurna;14/32;800;18;3200Kg / ,5 MPa;Cascalho;07/08/2029;PA2019-2324;https://pergamum.anac.gov.br/arquivos/PA2019-2324
SDBX;PR0153;Eloy Biesuz;ITAPEJARA D'OESTE;Paraná;"052°55'35,5""O";"25°59'54,1""S";500;VFR Diurna;10/28;1200;23;5700Kg / ,5 MPa;Cascalho;11/04/2029;PA2019-0960;https://pergamum.anac.gov.br/arquivos/PA2019-0960
SIQC;MS0117;Fazenda Paraíso;PARAÍSO DAS ÁGUAS;Mato Grosso do Sul;"052°59'45,0""O";"19°09'26,0""S";485;VFR Diurna;6/24;1000;20;5700Kg / ,5 MPa;Grama;19/12/2023;PA2013-3316;https://pergamum.anac.gov.br/arquivos/PA2013-3316
SIRM;MT0123;Fazenda Couto Magalhães;ÁGUA BOA;Mato Grosso;"052°55'37,0""O";"13°59'25,0""S";420;VFR Diurna;7/25;1900;30;8/F/C/Y/U;Cascalho;18/11/2025;PA2015-3040;https://pergamum.anac.gov.br/arquivos/PA2015-3040
SJJN;MT0187;Fazenda Shangri-lá;ALTA FLORESTA;Mato Grosso;"056°19'32,0""O";"10°16'58,0""S";334;VFR Diurna;14/32;850;20;5700Kg / ,5 MPa;Cascalho;11/08/2027;PA2017-2546;https://pergamum.anac.gov.br/arquivos/PA2017-2546
SNQJ;MG0292;Fazenda Aerovilas;DIVINÓPOLIS;Minas Gerais;"044°48'18,8""O";"20°14'33,6""S";847;VFR Diurna;11/29;890;23;5700Kg / ,25 MPa;Terra;30/11/2028;PA2018-3572;https://pergamum.anac.gov.br/arquivos/PA2018-3572
SJLB;MT0192;Fazenda Chaparral;LAMBARI D'OESTE;Mato Grosso;"057°46'27,0""O";"15°34'14,0""S";174;VFR Diurna;10/28;950;18;5400Kg / ,5 MPa;Cascalho;;;
