Última atualização: 18/01/2021;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Código OACI;CIAD;Nome;Município;UF;Longitude;Latitude;Altitude;Operação;Designação;Comprimento;Largura;Resistência;Superfície;Validade do Registro;Portaria de Registro;Link Portaria
SIUS;BA0098;Fazenda Santana;FORMOSA DO RIO PRETO;Bahia;"045°51'07,0""O";"11°12'50,0""S";777;VFR Diurna;12/30;1750;30;5700Kg / ,5 MPa;Terra;11/11/2025;PA2015-3000;https://pergamum.anac.gov.br/arquivos/PA2015-3000
SIDR;MS0070;Retiro Piúva;MIRANDA;Mato Grosso do Sul;"056°42'13,0""O";"19°50'08,0""S";100;VFR Diurna;18/36;500;18;3500Kg / ,5 MPa;Grama;03/05/2022;PA2012-0831;https://pergamum.anac.gov.br/arquivos/PA2012-0831
SDUR;RJ0019;Itaboraí;ITABORAÍ;Rio de Janeiro;"042°50'32,0""O";"22°42'46,0""S";16;VFR Diurna;18/36;470;15;5500Kg / ,5 MPa;Grama;19/02/2025;PA2015-0409;https://pergamum.anac.gov.br/arquivos/PA2015-0409
SWNM;MT0651;Fazenda Módulo Aguapei;PORTO ESPERIDIÃO;Mato Grosso;"059°14'03,0""O";"15°49'37,0""S";344;VFR Diurna;17/35;950;18;5500Kg / ,5 MPa;Cascalho;04/03/2030;PA2020-0594;https://pergamum.anac.gov.br/arquivos/PA2020-0594
SIWT;MT0147;Fazenda Santa Terezinha I;SANTA TEREZINHA;Mato Grosso;"050°36'37,0""O";"10°21'43,0""S";220;VFR Diurna;2/20;1200;20;5700Kg / ,5 MPa;Cascalho;02/12/2025;PA2015-3177;https://pergamum.anac.gov.br/arquivos/PA2015-3177
SIVR;PA0060;Fazenda Fortuna;JACAREACANGA;Pará;"056°54'56,0""O";"09°09'58,0""S";198;VFR Diurna;11/29;900;18;5700Kg / ,5 MPa;Terra;18/11/2025;PA2015-3039;https://pergamum.anac.gov.br/arquivos/PA2015-3039
SIPN;MS0115;Fazenda Progresso;PORTO MURTINHO;Mato Grosso do Sul;"057°41'26,0""O";"21°30'36,0""S";100;VFR Diurna;2/20;800;18;5700Kg / ,5 MPa;Cascalho;06/06/2022;PA2012-1130;https://pergamum.anac.gov.br/arquivos/PA2012-1130
SNVN;MG0166;Fazenda Vitória Santa;SANTA VITÓRIA;Minas Gerais;"050°22'23,0""O";"18°56'00,0""S";452;VFR Diurna;15/33;1000;30;5000Kg / ,5 MPa;Terra;11/08/2025;PA2015-2146;https://pergamum.anac.gov.br/arquivos/PA2015-2146
SDTE;SP0146;Fazenda Tapijara;ARANDU;São Paulo;"049°04'31,0""O";"23°13'12,0""S";588;VFR Diurna;17/35;1140;18;15/F/B/X/U;Asfalto;15/02/2022;PA2012-0307;https://pergamum.anac.gov.br/arquivos/PA2012-0307
SNKQ;MS0213;Fazenda Quebraxo;PORTO MURTINHO;Mato Grosso do Sul;"057°39'22,0""O";"21°04'57,0""S";92;VFR Diurna;3/21;900;23;5600Kg / ,5 MPa;Terra;01/03/2026;PA2016-0430;https://pergamum.anac.gov.br/arquivos/PA2016-0430
